inchikey,smiles_std,pIC50_B2,pIC50_B1,scaffold
PKBIBYSRZLYFOR-QGZVFWFLSA-N,COC(=O)N[C@@H]1CCCc2c(-c3ccc4c(c3)COC(=O)N4C)cncc21,,,O=C1Nc2ccc(-c3cncc4c3CCCC4)cc2CO1
PLVBVMFFKDZELP-UHFFFAOYSA-N,CN1C(=O)CCc2cc(-c3cncc(OCCN)c3)c(F)cc21,8.301029995663981,6.289882634888183,O=C1CCc2cc(-c3cccnc3)ccc2N1
PLWZQHHWHQDCSN-UHFFFAOYSA-N,CN1C(=O)CCc2cc(-c3cncc(CNC(=O)c4nccn4C)c3)ccc21,8.045757490560675,7.337242168318426,O=C1CCc2cc(-c3cncc(CNC(=O)c4ncc[nH]4)c3)ccc2N1
PMHCKCLWDPBNNV-UHFFFAOYSA-N,CN1C(=O)CCc2cc(-c3cncc(NCCO[Si](C)(C)C(C)(C)C)c3)ccc21,7.958607314841775,6.455931955649724,O=C1CCc2cc(-c3cccnc3)ccc2N1
PNLIMEXELXBTIB-UHFFFAOYSA-N,CCS(=O)(=O)NCc1cncc(-c2cc(F)c3c(c2)CCC(=O)N3C)c1,7.229147988357855,5.376543951930066,O=C1CCc2cc(-c3cccnc3)ccc2N1
PNXQJOWNYRUIIT-QGZVFWFLSA-N,CN1C(=O)CCc2cc(-c3cncc4c3CCC[C@H]4N)ccc21,8.2518119729938,6.346884006834433,O=C1CCc2cc(-c3cncc4c3CCCC4)ccc2N1
POANQOCZZSKULT-UHFFFAOYSA-N,CCC(=O)NCCOc1cncc(-c2ccc3c(c2)CCC(=O)N3C)c1,7.397940008672037,5.806875401645538,O=C1CCc2cc(-c3cccnc3)ccc2N1
PQWJJXGAHUHGRR-UHFFFAOYSA-N,CC(N)c1cncc(-c2ccc3c(c2)CCC(=O)N3C)c1Cl,7.455931955649724,5.904133546521457,O=C1CCc2cc(-c3cccnc3)ccc2N1
PRAVHWYRPCMUPQ-UHFFFAOYSA-N,CCS(=O)(=O)NC1CCCc2c(-c3cc(F)c4c(c3)CCC(=O)N4C)cncc21,6.6219656775426685,4.682996550097203,O=C1CCc2cc(-c3cncc4c3CCCC4)ccc2N1
PSQVHSMHQNDIQN-UHFFFAOYSA-N,CN1C(=O)CCc2cc(-c3cncc(NCc4ccccc4)n3)c(F)cc21,8.154901959985743,6.568636235841012,O=C1CCc2cc(-c3cncc(NCc4ccccc4)n3)ccc2N1
PUMVDLKHXKZWLU-UHFFFAOYSA-N,CC(NC(=O)c1ncccc1Cl)c1cncc(-c2ccc3c(c2)CCC(=O)N3C)c1,9.0,8.154901959985743,O=C1CCc2cc(-c3cncc(CNC(=O)c4ccccn4)c3)ccc2N1
PVBARMVQVCNWHT-UHFFFAOYSA-N,Cc1nc(C(=O)NCc2cncc(-c3ccc4c(c3)CCC(=O)N4C)c2)c(C(F)(F)F)o1,7.494850021680094,5.954677021213342,O=C1CCc2cc(-c3cncc(CNC(=O)c4cocn4)c3)ccc2N1
PYDLSXYBCSOQEO-UHFFFAOYSA-N,CCC(=O)NC1CCCc2c(-c3cc(Cl)c4c(c3)CCC(=O)N4C)cncc21,7.259748431597386,5.194165591879735,O=C1CCc2cc(-c3cncc4c3CCCC4)ccc2N1
PYGTWZAUQMFLOV-KRWDZBQOSA-N,CN1C(=O)CCc2cc(-c3cncc(O[C@H]4CCCNC4)c3)ccc21,6.294136287716081,4.696631123443963,O=C1CCc2cc(-c3cncc(O[C@H]4CCCNC4)c3)ccc2N1
PZAQNJGIBDLZTR-AWEZNQCLSA-N,CCC(=O)N[C@H]1CCc2c(-c3ccc4c(c3)CCC(=O)N4C)n[nH]c2C1,,,O=C1CCc2cc(-c3n[nH]c4c3CCCC4)ccc2N1
